Product Name,Category,Energy,Saturated fat,Carbohydrate,Sugar,Salt
Eat Real Veggie Straws Kale Tomato Spinach 5x20g,crisps,497,0.3,65.1,2,1.91
Tyrrells Salt & Cider Vinegar 6x25g,crisps,2042,2.8,56,1.7,1.8
"Sainsbury's Limited Summer Edition Chorizo Salsa Flavour, Taste the Difference 150g",crisps,509,3.3,53.9,0.6,1.18
Hippeas Chickpea Puffs Salt & Vinegar Vibes 78g,crisps,419,1.4,55.4,3.6,1
Off The Eaten Path Thai Chilli & Lime Rice & Pea Chips 120g,crisps,452,1.2,64.9,3.8,0.94
Manomasa Serrano Chilli & Yucatan Honey Sharing Tortilla Chips 160g,crisps,493,2.4,57.9,3.2,1
Mr Porky Hand Cooked Pork Scratchings 65g,crisps,653,18.8,0.4,0.2,3.1
Manomasa Green Lemon & Pink Peppercorn Sharing Tortilla Chips 160g,crisps,497,2.3,56.9,2.9,1.1
Off the Eaten Path Sea Salt Rice and Pea Chips 120g,crisps,452,1.5,61,1,1.1
Sainsbury's Baked Spiced Turmeric & Coconut Flatbread Chips 150g,crisps,449,1.5,61.8,2.4,1
Walkers Wotsits Crunchy Flamin' Hot Snacks 140g,crisps,546,4.2,56,3.3,1.5
Jacob's Mini Cheddars Crunchlets Cheddar & Caramelised Onion Flavour 115g,crisps,453,4.3,60.1,3.7,2.2
Sainsbury's Sea Salt & Rosemary Flatbread Chips 150g,crisps,466,1.3,65.4,2.3,1
"Sainsbury's Summer Edition Ham & Piccalilli Flavour, Taste the Difference 150g",crisps,517,3.1,52.2,1.7,0.99
Sainsbury's Tortilla Chips Cool 200g,crisps,490,1.6,63.4,1.2,1.28
Harvest Snaps Sour Cream & Chive Crunchy Lentil Rings 100g,crisps,442,1,54.2,2,1.26
Sainsbury's Maple Bacon Pretzels 150g,crisps,428,0.9,75,8.3,1.28
Doritos Stax Flaming Chicken Wings Flavour Corn Chips 170g,crisps,526,2.1,63,3.5,1.5
Peter's Yard West Country Sour Cream & Chive Sourdough Bites 90g,crisps,1638,1.3,55,5.3,1.4
Kind Fruit & Nut Multipack 3x30g,crisps,2217,3.9,36,20,0.02
Penn State Roasted Chilli Sharing Pretzels 165g,crisps,422,0.9,74,7.9,0.93
Pringles Original Sharing Crisps 200g,crisps,534,2.8,56,1.2,1.1
Pringles Salt & Vinegar Sharing Crisps 200g,crisps,514,2.7,56,2.3,1.9
Kellogg's Fruit Winders Strawberry Snack 5x17g,crisps,393,3.5,79,37,0.13
Kellogg's Fruit Winders Doubles Apple & Strawberry Rolls 5x17g,crisps,393,3.5,79,37,0.13
Koikeya Original Premium Japanese Potato Chips Wasabi Nori 100g,crisps,536,3,52,2,1
Harvest Snaps Thai Sweet Chilli Crispy Lentil Puffs 100g,crisps,444,1.1,53.6,4.3,1.11
Tropical Sun Cassava Chips Lightly Salted 80g,crisps,2167,12,68,1.9,0.98
Pretzel Pete Honey Mustard & Onion Pieces 160g,crisps,481,1,64,8,0
Peter's Yard Suffolk Cyder Vinegar & Sea Salt Sourdough Bites 90g,crisps,1594,1,56,4.5,2.6
"Sainsbury's Onion & Garlic, Be Good To Yourself 200g",crisps,169,2.5,7.2,3.2,0.83
Ella's Kitchen Organic Cheese and Tomato & Basil Mini Puffs Multipack Baby Snack 10 Months 4x8g,crisps,1740,2.3,59.4,3.1,0.1
Tropical Sun Cassava Chips Chilli & Lime Flavour 80g,crisps,510,10.4,66,3.6,0.69
Big Hoops Salted Grab Bag Crisps 45g,crisps,506,2.4,62,0.5,1.6
Sensations Thai Sweet Chilli Crisps 40g,crisps,494,2.3,59,4,1.43
Big Hoops BBQ Beef Grab Bag Crisps 45g,crisps,506,2.5,62,1,1.7
Walkers Quavers Cheese Crisp Snacks 34g,crisps,536,2.7,62.1,2.7,2.14
Nik Naks Nice'N'Spicy Grab Bag Crisps 45g,crisps,566,3.3,53,4.3,1.8
Walkers Max Flame Grilled Steak Crisps 50g,crisps,533,2.7,51.6,3.7,1.2
Doritos Cool Grab Original Tortilla Chip Crisps 48g,crisps,498,3.5,58.1,2.7,1.48
