Barcode,Nudge ID,Category,Nudge food ID,Source food ID,Brand name,Product Name,Energy,Fat,Saturated fat,Carbohydrate,Sugar,Protein,Salt,Ingredients,May contain
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238217,8014261,Shredded Wheat,Shredded Wheat Cereal 16 Biscuits,1522,2.2,0.5,67,0.7,12,0.05,Whole Grain Wheat (100%),"H0008,H0007"
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238218,8014262,Shredded Wheat,Shredded Wheat Cereal 30 Biscuits,1522,2.2,0.5,67,0.7,12,0.05,Whole Grain Wheat (100%),"H0008,H0007"
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238225,7959567,Golden Nuggets,Golden Nuggets 565g,1600,1.7,0.3,80,23,8.4,0.7,"Whole Grain Wheat (26.6%), Wheat Flour (26.3%), Sugar, Whole Grain Maize Flour (14.6%), Maize Semolina (13.6%), Glucose Syrup, Honey (2.3%), Invert Sugar Syrup, Calcium Carbonate, Salt, Molasses, Sunflower Oil, Colour: Carotene, Antioxidant: Tocopherols, Iron, Natural Flavouring, Vitamin B3, B5, B9, B6, B2","H0008,H0007,H0010"
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238229,8014251,Shreddies,Shreddies The Original Cereal 1kg Box,1538,1.8,0.3,70,13,11,0.72,"Whole Grain Wheat (96%), Sugar, Invert Sugar Syrup, Barley Malt Extract, Salt, Molasses, Vitamins and Minerals (Niacin, Iron, Pantothenic Acid, Folic Acid, Vitamin B6, Riboflavin)","H0008,H0007"
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238260,7956472,Harvest Home,Harvest Home Bran Flakes 500g,1501,2.4,0.4,64.3,13.6,10.8,0.6,"Wholegrain Wheat (80.7%), Wheat Bran (17%), Sugar, Barley Malt Extract, Salt, Vitamins and Minerals (Niacin, Pantothenic Acid, Thiamin, Vitamin B6, Riboflavin, Folic Acid, Vitamin D, Vitamin B12, Iron)","H0008,H0007"
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238300,7844958,Shreddies,Shreddies The Original Breakfast To Go,438,1.5,0.8,17,6.3,4.6,0.21,"Semi-Skimmed Milk (81%), Whole Grain Wheat (17%), Sugar, Invert Sugar Syrup, Barley Malt Extract, Salt, Molasses, Vitamins and Minerals (Niacin, Iron, Pantothenic Acid, Folic Acid, Vitamin B6, Riboflavin)","H0008,H0007"
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238304,8081621,Shreddies,Shreddies Limited Edition Coco Orange Flavour 460g,1566,1.9,0.5,74,24,9.4,0.61,"Whole Grain Wheat (80%), Sugar, Sugar Syrup (Invert Sugar Syrup, Molasses), Cocoa Powder Premix (Sugar, Fat-Reduced Cocoa Powder, Cocoa Powder, Flavouring), Barley Malt Extract, Salt, Vitamins and Minerals (Niacin, Iron, Pantothenic Acid, Folic Acid, Vitamin B6, Riboflavin), Flavouring","H0007,H0008"
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238313,7759657,Cheerios,Cheerios Multigrain Box Bowls 30g,1613,4.7,0.9,71,18,9.4,0.84,"Cereal Grains (Whole Grain Oat Flour (29.6%), Whole Grain Wheat (29.6%), Whole Grain Barley Flour (17.9%), Whole Grain Corn Flour (2.1%), Whole Grain Rice Flour (2.1%)), Sugar, Wheat Starch, Invert Sugar Syrup, Molasses, Vitamins and Minerals (Calcium, Vitamin C, Niacin, Iron, Pantothenic Acid, Folic Acid, Vitamin D, Vitamin B6, Riboflavin), Sunflower Oil, Salt, Colours: Carotene and Annatto, Caramelised Sugar Syrup, Antioxidant: Tocopherols","H0008,H0007"
7.61E+12,"A0001,B0000,C0024,D0000,E0001,F0000",cereal,238383,7935072,Shreddies,Shreddies The Original Box Bowls 40g,1538,1.8,0.3,70,13,11,0.72,"Whole Grain Wheat (96%), Sugar, Invert Sugar Syrup, Barley Malt Extract, Salt, Molasses, Vitamins and Minerals (Niacin, Iron, Pantothenic Acid, Folic Acid, Vitamin B6, Riboflavin)","H0008,H0007"
5.06E+12,"A0001,B0000,C0024,D0000,E0006,F0000",cereal,239719,7911054,Tesco,Tesco Easy Oats Golden Syrup Flavour 10 X 36g (360g),438,2.5,1.1,14.9,6.9,4.8,0.1,"Oat Flakes (81%), Sugar, Flavourings.","H0007,H0001,H0008,H0000,H0010"
5.00E+12,"A0001,B0000,C0024,D0000,E0006,F0000",cereal,239890,7914590,Tesco,Tesco Honey Nut Corn Flakes 500g,1708,4.5,1,82,27.9,7.6,0.6,"Maize, Brown Sugar, Peanuts (8%), Sugar, Honey (0.6%), Salt, Caramelised Sugar Syrup, Barley Malt Extract, Iron, Niacin,Pantothenic Acid, Vitamin B6, Riboflavin, Thiamin, Folic Acid, Vitamin D, Vitamin B12.","H0008,H0007,H0000"
